,0,studio
"('Guardians', 5)",Arin Finger,dreamworks
"('Guardians', 8)",Michael Siegel,dreamworks
"('Croods', 0)",Kirk DeMicco,dreamworks
"('Croods', 4)",John Cleese,dreamworks
"('Turbo', 2)",Robert Siegel,dreamworks
"('Turbo', 5)",Sean Mullen,dreamworks
"('Peabody', 0)",Rob Minkoff,dreamworks
"('Peabody', 1)",Jay Ward,dreamworks
"('Peabody', 2)",Craig Wright,dreamworks
"('Peabody', 3)",Robert Ben Garant,dreamworks
"('Peabody', 4)",Thomas Lennon,dreamworks
"('Peabody', 5)",Ted Key,dreamworks
"('Peabody', 6)",Michael McCullers,dreamworks
"('Peabody', 8)",Jason Clark,dreamworks
"('Peabody', 10)",Eric Ellenbogen,dreamworks
"('Peabody', 13)",Alex Schwartz,dreamworks
"('Peabody', 14)",Tiffany Ward,dreamworks
"('TrainDragon2', 7)",Aaron Dem,dreamworks
"('TrainDragon2', 9)",Kendra Haaland,dreamworks
"('TrainDragon2', 12)",Kate Spencer,dreamworks
"('Penguins', 2)",Michael Colton,dreamworks
"('Penguins', 3)",John Aboud,dreamworks
"('Penguins', 4)",Brandon Sawyer,dreamworks
"('Penguins', 14)",Jennifer Dahlman,dreamworks
"('Penguins', 16)",Damien de Froberville,dreamworks
"('Penguins', 19)",Tripp Hudson,dreamworks
"('Penguins', 20)",Chris Leahy,dreamworks
"('Home', 1)",Tom J. Astle,dreamworks
"('Home', 2)",Matt Ember,dreamworks
"('Home', 3)",Adam Rex,dreamworks
"('Home', 5)",Christopher Jenkins,dreamworks
"('KungFuPanda3', 0)",Alessandro Carloni,dreamworks
"('KungFuPanda3', 10)",Jeff Hermann,dreamworks
"('KungFuPanda3', 11)",Peikang La,dreamworks
"('KungFuPanda3', 12)",Rui Gang Li,dreamworks
"('Trolls', 4)",Erica Rivinoja,dreamworks
"('Trolls', 5)",Thomas Dam,dreamworks
"('Trolls', 9)",Dannie Festa,dreamworks
"('BossBaby', 2)",Marla Frazee,dreamworks
"('BossBaby', 3)",Rebecca Huntley,dreamworks
"('BossBaby', 4)",Ramsey Ann Naito,dreamworks
"('BossBaby', 5)",Jed Schlanger,dreamworks
"('CapUnderpants', 1)",Nicholas Stoller,dreamworks
"('CapUnderpants', 2)",Dav Pilkey,dreamworks
"('CapUnderpants', 4)",Marie Balland,dreamworks
"('CapUnderpants', 5)",Chris Finnegan,dreamworks
"('CapUnderpants', 7)",Daniela Mazzucato,dreamworks
