,0,studio
"('LionKing', 24)",Miguel Tejada-Flores,Disney
"('LionKing', 25)",Jenny Tripp,Disney
"('LionKing', 26)",Bob Tzudiker,Disney
"('LionKing', 27)",Christopher Vogler,Disney
"('LionKing', 29)",Noni White,Disney
"('LionKing', 31)",Alice Dewey Goldstone,Disney
"('Pocahontas', 1)",Eric Goldberg,Disney
"('Pocahontas', 2)",Carl Binder,Disney
"('Pocahontas', 3)",Susannah Grant,Disney
"('Pocahontas', 4)",Philip LaZebnik,Disney
"('Pocahontas', 5)",Glen Keane,Disney
"('Pocahontas', 7)",Ralph Zondag,Disney
"('Pocahontas', 10)",Kaan Kalyon,Disney
"('Pocahontas', 12)",Rob Gibbs,Disney
"('Pocahontas', 14)",Todd Kurosawa,Disney
"('Pocahontas', 15)",Duncan Marjoribanks,Disney
"('Pocahontas', 16)",Chris Buck,Disney
"('Pocahontas', 17)",Andrew Chapman,Disney
"('Pocahontas', 18)",Randy Cartwright,Disney
"('Pocahontas', 19)",Will Finn,Disney
"('Pocahontas', 20)",Broose Johnson,Disney
"('Pocahontas', 21)",T. Daniel Hofstedt,Disney
"('Pocahontas', 22)",David Pruiksma,Disney
"('Pocahontas', 23)",Nik Ranieri,Disney
"('Pocahontas', 24)",Vincent DeFrances,Disney
"('Pocahontas', 25)",Tom Mazzocco,Disney
"('Pocahontas', 26)",Don Dougherty,Disney
"('Pocahontas', 29)",Baker Bloodworth,Disney
"('Pocahontas', 30)",James Pentecost,Disney
"('Hunchback', 2)",Tab Murphy,Disney
"('Hunchback', 3)",Victor Hugo,Disney
"('Hunchback', 10)",Gaëtan Brizzi,Disney
"('Hunchback', 11)",Paul Brizzi,Disney
"('Hunchback', 14)",Jeff Snow,Disney
"('Hunchback', 16)",Denis Rich,Disney
"('Hunchback', 18)",John Sanford,Disney
"('Hunchback', 19)",Kelly Wightman,Disney
"('Hunchback', 21)",Geefwee Boedoe,Disney
"('Hunchback', 22)",Floyd Norman,Disney
"('Hunchback', 25)",Christine Blum,Disney
"('Hunchback', 28)",Roy Conli,Disney
"('Hunchback', 30)",Philip Lofaro,Disney
"('Hercules', 4)",Don McEnery,Disney
"('Hercules', 5)",Bob Shaw,Disney
"('Hercules', 10)",John Ramirez,Disney
"('Hercules', 14)",Tamara Lusher,Disney
"('Hercules', 16)",Mark Kennedy,Disney
"('Hercules', 22)",Kendra Haaland,Disney
"('Mulan', 0)",Tony Bancroft,Disney
"('Mulan', 1)",Barry Cook,Disney
"('Mulan', 2)",Robert D. San Souci,Disney
"('Mulan', 3)",Rita Hsiao,Disney
"('Mulan', 6)",Raymond Singer,Disney
"('Mulan', 7)",Eugenia Bostwick-Singer,Disney
"('Mulan', 8)",Dean DeBlois,Disney
"('Mulan', 10)",Chris Williams,Disney
"('Mulan', 11)",Tim Hodge,Disney
"('Mulan', 12)",Julius Aguimatang,Disney
"('Mulan', 21)",Jodi Ann Johnson,Disney
"('Mulan', 22)",Alan Ormsby,Disney
"('Mulan', 23)",David Reynolds,Disney
"('Mulan', 27)",Joe Ekers,Disney
"('Mulan', 28)",Theodore Newton,Disney
"('Mulan', 29)",Larry Scholl,Disney
"('Mulan', 31)",Frank Nissen,Disney
"('Mulan', 33)",Pam Coats,Disney
"('Mulan', 34)",Robert S. Garber,Disney
"('Tarzan', 5)",Stephen J. Anderson,Disney
"('Tarzan', 7)",Carole Holliday,Disney
"('Tarzan', 12)",Randy Haycock,Disney
"('Tarzan', 13)",Don Hall,Disney
"('Tarzan', 18)",John Norton,Disney
"('Tarzan', 20)",Michael Surrey,Disney
"('Tarzan', 21)",Chris Ure,Disney
"('Tarzan', 22)",Mark Walton,Disney
"('Tarzan', 23)",Stevie Wermers,Disney
"('Tarzan', 26)",Edgar Rice Burroughs,Disney
"('Tarzan', 27)",Bonnie Arnold,Disney
"('Tarzan', 28)",Christopher Chase,Disney
"('Tarzan', 29)",Christopher Ward,Disney
"('Fantasia2000', 7)",Pixote Hunt,Disney
"('Fantasia2000', 19)",Elena Driskill,Disney
